Courier_id,Addr,Arrival_time,Departure,Amount,Order_id
D0001,A102,0,0,0,
D0001,B8890,8,32,-43,F7675
D0001,B3969,35,57,-32,F7633
D0001,B9197,60,79,-20,F3275
D0001,B7203,81,104,-38,F3241
D0001,B9132,149,162,-7,F1114
D0002,A011,0,0,0,
D0002,B5050,4,23,-21,F0662
D0002,B3074,34,65,-77,F6741
D0002,B6755,76,100,-42,F3090
D0003,A091,0,0,0,
D0003,B2286,3,30,-55,F6866
D0003,B1748,36,63,-54,F6863
D0003,B3343,117,138,-29,F3388
D0004,A045,0,0,0,
D0004,B2477,2,32,-72,F3988
D0004,B7031,34,58,-39,F4015
D0004,B1602,61,79,-20,F3986
D0004,B1727,179,193,-9,F0705
D0005,A098,0,0,0,
D0005,B2199,4,29,-43,F7289
D0005,B3413,32,66,-94,F7298
D0006,A123,0,0,0,
D0006,B3605,8,26,-18,F9112
D0006,B0846,35,53,-20,F9090
D0006,B3816,64,89,-43,F0251
D0006,B7807,95,123,-56,F0298
D0006,B5513,166,177,-3,F3590
D0007,A073,0,0,0,
D0007,B7066,5,39,-94,F9077
D0007,B1021,42,60,-20,F5914
D0007,B7954,118,138,-26,F2412
D0008,A104,0,0,0,
D0008,B0254,4,32,-60,F7768
D0008,B4425,35,63,-62,F7778
D0008,B9193,97,115,-17,F7276
D0009,A039,0,0,0,
D0009,B8979,6,30,-39,F3703
D0009,B2366,40,65,-42,F8474
D0009,B7578,72,95,-37,F8514
D0009,B0555,105,123,-18,F3339
D0009,B6942,265,276,-4,F2638
D0010,A068,0,0,0,
D0010,B8855,2,21,-21,F5569
D0010,B2621,28,53,-43,F5526
D0010,B3820,58,85,-53,F4193
D0010,B8545,103,121,-18,F5053
D0010,B3307,221,232,-4,F2758
D0011,A076,0,0,0,
D0011,B1958,5,37,-86,F5999
D0011,B3212,42,65,-38,F6003
D0011,B3621,95,111,-14,F5013
D0012,A066,0,0,0,
D0012,B8804,96,118,-31,F8190
D0012,B6658,152,160,-1,F2832
D0012,B2186,190,204,-10,F2739
D0012,B3360,263,274,-4,F5695
D0012,B3038,303,312,-2,F5287
D0012,B5446,330,339,-2,F5326
D0012,B8873,363,372,-2,F5379
D0012,B2047,377,395,-19,F5268
D0012,B0953,400,408,-1,F5249
D0012,B1048,428,440,-6,F5252
D0012,B0020,462,472,-3,F5235
D0012,B8985,474,485,-4,F5381
D0012,B0408,502,515,-7,F5240
D0012,B8778,520,530,-3,F5378
D0012,B1216,549,560,-4,F5256
D0012,B5435,588,599,-5,F5325
D0012,B2827,613,625,-5,F5282
D0012,B5520,650,660,-3,F2810
D0012,B0412,671,688,-18,F5241
D0012,B8093,696,704,-1,F5367
D0012,B0909,717,731,-9,F5247
D0013,A123,0,0,0,
D0013,B5471,13,38,-41,F9143
D0013,B2568,46,71,-43,F8747
D0013,B2219,73,99,-50,F8743
D0013,B4195,127,138,-4,F8956
D0013,B2088,163,172,-2,F8740
D0014,A074,0,0,0,
D0014,B8191,2,29,-50,F5936
D0014,B5563,31,64,-86,F5903
D0014,B1683,261,272,-4,F6061
D0015,A111,0,0,0,
D0015,B8769,5,30,-46,F8341
D0015,B5013,32,62,-72,F6758
D0015,B3964,185,204,-22,F3183
D0016,A121,0,0,0,
D0016,B9160,3,36,-87,F9056
D0016,B2653,38,63,-45,F6275
D0016,B7785,261,274,-8,F7507
D0017,A007,0,0,0,
D0017,B8026,11,30,-21,F0391
D0017,B5126,38,70,-78,F6759
D0017,B9113,74,97,-37,F6790
D0017,B4957,234,245,-4,F2798
D0018,A067,0,0,0,
D0018,B7283,11,25,-8,F5482
D0018,B3707,42,71,-67,F5434
D0018,B3264,73,89,-14,F5427
D0018,B0558,91,108,-16,F5392
D0018,B3313,121,138,-15,F5428
D0018,B4071,144,159,-13,F5305
D0018,B2250,161,173,-5,F5273
D0018,B6432,325,334,-2,F5341
D0019,A105,0,0,0,
D0019,B8371,9,23,-9,F7846
D0019,B5007,37,51,-10,F5454
D0019,B9073,58,77,-22,F5506
D0019,B0965,85,117,-82,F5398
D0019,B7166,135,152,-16,F3963
D0019,B5127,167,175,-1,F3956
D0020,A081,0,0,0,
D0020,B5958,4,33,-61,F6290
D0020,B6302,35,63,-60,F6293
D0020,B6337,142,160,-18,F6151
D0021,A114,0,0,0,
D0021,B3511,3,25,-35,F8483
D0021,B1537,30,49,-22,F8464
D0021,B9148,54,78,-42,F8527
D0021,B7217,81,102,-29,F8508
D0021,B7595,107,123,-12,F3456
D0022,A078,0,0,0,
D0022,B3141,9,24,-11,F6148
D0022,B6041,35,46,-3,F3959
D0022,B3192,52,63,-4,F3947
D0022,B6855,119,152,-86,F7742
D0022,B7953,172,189,-17,F5802
D0022,B3587,217,235,-17,F1058
D0022,B8166,262,271,-2,F8911
D0023,A033,0,0,0,
D0023,B7367,8,31,-36,F3006
D0023,B7615,36,61,-43,F4584
D0023,B5582,66,91,-44,F2991
D0023,B8695,98,110,-5,F3022
D0023,B1930,197,212,-11,F1139
D0024,A050,0,0,0,
D0024,B8315,5,30,-43,F4244
D0024,B4005,33,61,-61,F4231
D0024,B1477,68,89,-31,F7960
D0024,B6317,192,203,-5,F8793
D0025,A118,0,0,0,
D0025,B7177,5,38,-85,F8848
D0025,B4669,42,69,-50,F4442
D0025,B4380,75,86,-5,F8840
D0026,A080,0,0,0,
D0026,B8948,3,24,-28,F6262
D0026,B3519,27,54,-52,F6243
D0026,B8373,57,81,-40,F0071
D0026,B4280,209,227,-20,F8883
